Type,Name,Brand,Rating,Total Reviewers,log_review,recommendation_score
Sunscreen,Sun Protection SPF 30 PA+++,Emina,3.6,13700,9.525224101853109,0.7887009426141529
Sunscreen,Hydrasoothe Sunscreen Gel SPF 45+++,Azarine Cosmetics,4.1,9441,9.152923101106232,0.8468943906268045
Sunscreen,UV Moisture Milk,Skin Aqua,4.2,8947,9.09918532261002,0.8594685395918373
Sunscreen,UV Shield Essential Sunscreen Gel SPF 35 PA +++,Wardah,3.3,8358,9.031094081699155,0.721394739150915
Sunscreen,UV Aqua Rich Watery Essence SPF 50+/PA++++,Biore,4.2,7362,8.904222737368716,0.850667465144354
Sunscreen,UV Moisture Gel,Skin Aqua,4.0,3477,8.154212694914229,0.7868102293478951
Sunscreen,UV Perfect Matte & Fresh Long UV SPF 50/ PA++++,L'Oreal Paris,3.7,3411,8.13505390861157,0.7409453562012633
Sunscreen,Cica Beat The Sun,NPURE,4.1,3366,8.121777419161074,0.8003460239144533
Sunscreen,Sun Protect & White Oil Control Serum SPF 50+,NIVEA,3.9,1550,7.346655163176539,0.735355163117354
Sunscreen,UV Defender Bright & Clear,L'Oreal Paris,3.9,1314,7.181591944611865,0.7279038171407357
Sunscreen,UV Tint,Acnes,3.7,1302,7.172424577124845,0.6974899803851304
Sunscreen,Solar Smart UV Protector SPF45 PA++++,Carasun,3.7,1262,7.141245122350491,0.6960824656952662
Sunscreen,Sun Protect & White Serum Instant Aura SPF 50+,NIVEA,3.9,1114,7.016609683894219,0.7204561257937373
Sunscreen,UV Whitening Milk,Skin Aqua,4.3,953,6.860663671448287,0.7734163521693462
Sunscreen,Hydramax-C Sunscreen Serum SPF 50 PA++++,Azarine Cosmetics,4.0,946,6.853299093186078,0.7280838976038727
Sunscreen,Aloe Soothing Sun Cream,Cosrx,4.1,942,6.849066282633458,0.7428928184757948
Sunscreen,Light Complete Super UV Spot Proof Watery Sunscreen,Garnier,4.3,802,6.688354713946762,0.7656379163168354
Sunscreen,UV Mild Milk,Skin Aqua,4.0,786,6.668228248417403,0.719729359830116
